Rk,Player,Tm,FantPos,Age,G,GS,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
304,Charlie Kolar,BAL,TE,26,17,7,26.0,36.2,39.2,31.2,,55,
305,Adam Trautman,DEN,TE,28,17,12,26.0,45.5,48.5,35.5,,56,
306,Tutu Atwell,LAR,WR,26,10,4,25.0,31.2,34.2,28.2,,124,
307,James Conner,ARI,RB,30,3,3,25.0,33.3,33.3,29.3,,75,
308,Luke Musgrave,GNB,TE,25,17,10,25.0,49.2,52.2,37.2,,57,
309,Ja'Tavion Sanders,CAR,TE,22,13,5,25.0,54.0,57.0,39.5,,58,
310,Zavier Scott,MIN,RB,26,16,0,25.0,39.2,43.2,32.2,,76,
311,Connor Heyward,PIT,TE,26,17,2,24.0,27.4,27.4,25.9,,59,
312,Josh Johnson,WAS,QB,39,5,2,24.0,24.4,30.4,26.4,,53,
313,Hunter Luepke,DAL,RB,25,17,5,24.0,37.0,40.0,30.5,,77,
314,Gunner Olszewski,NYG,WR,29,16,1,24.0,33.8,37.8,28.8,,125,
315,Jeremy Ruckert,NYJ,TE,25,17,15,24.0,46.9,49.9,35.4,,60,
316,Mitchell Tinsley,CIN,WR,26,17,4,24.0,31.6,34.6,27.6,,126,
317,Jawhar Jordan,HOU,RB,26,4,0,23.0,29.7,32.7,26.2,,78,
318,Jaret Patterson,LAC,RB,26,6,1,23.0,25.7,28.7,24.2,,79,
319,Brock Wright,DET,TE,27,11,8,23.0,36.8,39.8,29.8,,61,
320,Elijah Arroyo,SEA,TE,22,13,4,22.0,36.9,40.9,29.4,,62,
321,Jack Bech,LVR,WR,23,16,5,22.0,42.4,45.4,32.4,,127,
322,Trey Benson,ARI,RB,23,4,1,22.0,35.4,38.4,28.9,,80,
323,Lil'Jordan Humphrey,2TM,WR,27,10,4,22.0,34.6,37.6,28.1,,128,
324,Malachi Corley,CLE,WR,23,13,5,21.0,31.6,34.6,26.1,,131,
325,Antonio Gibson,NWE,RB,27,5,0,21.0,23.2,27.2,22.2,,81,
326,Hunter Long,JAX,TE,27,9,3,21.0,32.5,32.5,26.5,,63,
327,Hunter Renfrow,CAR,WR,30,6,2,21.0,35.9,35.9,28.4,,129,
328,Adam Thielen,2TM,WR,35,16,7,21.0,39.6,42.6,30.1,,132,
329,Jahdae Walker,CHI,WR,23,9,1,21.0,26.7,26.7,23.7,,130,
330,Ameer Abdullah,IND,RB,32,13,0,20.0,35.9,36.9,27.9,,82,
331,Kevin Austin,NOR,WR,25,8,1,20.0,33.0,36.0,26.5,,133,
332,Chris Brooks,GNB,RB,25,17,0,20.0,32.7,35.7,26.2,,83,
333,Elijah Moore,BUF,WR,25,9,2,20.0,28.6,31.6,24.1,,135,
334,Elijah Moore,DEN,WR,25,0,0,20.0,,,,,135,
335,Theo Wease,MIA,WR,24,3,0,20.0,25.9,28.9,22.9,,134,
336,Jaydon Blue,DAL,RB,21,5,0,19.0,20.4,23.4,19.9,,84,
337,Treylon Burks,WAS,WR,25,8,3,19.0,29.0,32.0,24.0,,136,
338,Gabe Davis,BUF,WR,26,6,5,19.0,30.9,33.9,24.9,,137,
339,Luke Farrell,SFO,TE,28,17,4,19.0,29.5,30.5,24.0,,64,
340,Miles Sanders,DAL,RB,28,4,0,19.0,26.7,30.7,22.7,,85,
341,Mo Alie-Cox,IND,TE,32,17,6,18.0,30.7,33.7,24.2,,66,
342,Jerome Ford,CLE,RB,26,13,0,18.0,43.6,46.6,30.6,,86,
343,Noah Gray,KAN,TE,26,16,6,18.0,38.8,41.8,28.3,,65,
344,Isaiah Hodgins,NYG,WR,27,7,5,18.0,27.5,30.5,22.5,,143,
345,Jimmy Horn,CAR,WR,23,13,0,18.0,28.7,31.7,23.2,,142,
346,Zay Jones,ARI,WR,30,8,0,18.0,30.3,33.3,24.3,,138,
347,Jalen McMillan,TAM,WR,24,4,2,18.0,29.9,32.9,23.9,,141,
348,Marquez Valdes-Scantling,2TM,WR,31,10,1,18.0,32.0,35.0,25.0,,140,
349,Jordan Whittington,LAR,WR,25,17,6,18.0,36.3,39.3,27.3,,139,
350,Andrew Beck,NYJ,FB,29,17,2,17.0,23.0,23.0,20.0,,89,
351,Raheem Mostert,LVR,RB,33,12,0,17.0,29.4,32.4,23.4,,87,
352,Drew Sample,CIN,TE,29,17,12,17.0,31.9,34.9,24.4,,68,
353,Raheim Sanders,CLE,RB,23,4,1,17.0,20.3,20.3,18.8,,88,
354,Ben Sinnott,WAS,TE,23,16,3,17.0,28.4,31.4,22.9,,67,
355,Tyler Badie,DEN,RB,25,16,0,16.0,35.4,38.4,25.9,,90,
356,John Bates,WAS,TE,28,15,11,16.0,27.3,30.3,21.8,,69,
357,Julian Hill,MIA,TE,25,14,11,16.0,31.0,34.0,23.5,,70,
358,Brycen Tremayne,CAR,WR,26,16,1,16.0,30.0,33.0,23.0,,144,
359,Savion Williams,GNB,WR,24,12,0,16.0,25.5,26.5,20.5,,145,
360,Rasheen Ali,BAL,RB,24,15,0,15.0,24.2,24.2,19.7,,91,
361,LeQuint Allen,JAX,RB,21,17,1,15.0,24.8,24.8,19.8,,92,
362,Ashton Dulin,IND,WR,28,12,2,15.0,20.0,23.0,17.5,,147,
363,Konata Mumpfield,LAR,WR,23,17,0,15.0,25.2,25.2,20.2,,146,
364,Mason Rudolph,PIT,QB,30,5,1,15.0,15.0,21.0,17.0,,54,
365,Brevyn Spann-Ford,DAL,TE,26,17,5,15.0,24.0,24.0,19.5,,71,
366,Cody White,SEA,WR,27,10,0,15.0,18.0,18.0,16.5,,148,
367,Grant Calcaterra,PHI,TE,27,15,6,14.0,22.6,22.6,18.1,,72,
368,Efton Chism,NWE,WR,24,8,1,14.0,16.5,16.5,15.0,,151,
369,C.J. Ham,MIN,FB,32,11,1,14.0,15.6,15.6,14.6,,95,
370,Terrell Jennings,NWE,RB,24,7,0,14.0,15.2,15.2,14.7,,93,
371,Kameron Johnson,TAM,WR,23,17,0,14.0,17.7,17.7,15.7,,150,
372,Trey Lance,LAC,QB,25,4,1,14.0,13.5,15.5,14.5,,56,
373,Tanner McKee,PHI,QB,25,4,1,14.0,13.8,14.8,14.8,,55,
374,Dare Ogunbowale,HOU,RB,31,17,0,14.0,24.1,25.1,19.1,,94,
375,Curtis Samuel,BUF,WR,29,6,0,14.0,21.1,21.1,17.6,,149,
376,Dont'e Thornton,LVR,WR,23,15,8,14.0,23.5,26.5,18.5,,152,
377,Braelon Allen,NYJ,RB,21,4,0,13.0,15.3,16.3,14.3,,96,
378,John FitzPatrick,GNB,TE,25,15,4,13.0,25.2,25.2,19.2,,73,
379,George Holani,SEA,RB,26,11,0,13.0,14.8,15.8,13.8,,97,
380,Allen Lazard,NYJ,WR,30,10,2,13.0,23.0,23.0,18.0,,153,
381,Luke Schoonmaker,DAL,TE,27,17,7,13.0,27.2,30.2,20.2,,74,
382,Ben Skowronek,PIT,WR,28,17,3,13.0,16.9,16.9,14.9,,154,
383,Shedrick Jackson,LVR,WR,26,5,0,12.0,15.9,15.9,13.9,,156,
384,Quintin Morris,JAX,TE,26,14,5,12.0,17.5,17.5,14.5,,75,
385,Josh Reynolds,NYJ,WR,30,5,3,12.0,23.1,26.1,17.6,,155,
386,Nate Adkins,DEN,TE,26,9,6,11.0,16.8,16.8,13.8,,78,
387,KeAndre Lambert-Smith,LAC,WR,24,10,2,11.0,16.1,16.1,13.6,,157,
388,Johnny Mundt,JAX,TE,31,16,6,11.0,20.1,23.1,15.6,,77,
389,Kene Nwangwu,NYJ,RB,27,12,1,11.0,10.9,10.9,10.9,,98,
390,Chris Oladokun,KAN,QB,28,3,2,11.0,11.2,13.2,11.2,,57,
391,Dante Pettis,NOR,WR,30,8,0,11.0,19.7,23.7,15.2,,158,
392,Jack Stoll,NOR,TE,27,15,4,11.0,16.6,16.6,13.6,,79,
393,Ian Thomas,LVR,TE,29,15,10,11.0,24.4,27.4,17.9,,76,
394,Jamari Thrash,CLE,WR,25,9,1,11.0,20.7,23.7,15.7,,159,
395,Tylan Wallace,BAL,WR,26,14,2,11.0,14.5,14.5,12.5,,160,
396,Brittain Brown,CHI,RB,28,3,0,10.0,9.7,9.7,9.7,,99,
397,Tyler Conklin,LAC,TE,30,13,5,10.0,17.3,20.3,13.8,,80,
398,Andy Dalton,CAR,QB,38,4,1,10.0,9.5,12.5,10.5,,59,
399,Will Dissly,LAC,TE,29,9,2,10.0,20.7,20.7,15.2,,81,
400,DJ Giddens,IND,RB,22,9,0,10.0,9.6,9.6,9.6,,101,
401,Joe Milton,DAL,QB,25,4,0,10.0,10.3,13.3,12.3,,58,
402,Skyy Moore,SFO,WR,25,17,0,10.0,14.8,14.8,12.3,,161,
403,Adam Prentice,DEN,FB,28,17,3,10.0,15.7,15.7,12.7,,100,
404,Josh Whyle,GNB,TE,26,8,1,10.0,14.6,14.6,12.1,,82,
405,Michael Bandy,DEN,WR,28,4,0,9.0,13.0,14.0,11.0,,166,
406,Tanner Conner,MIA,TE,27,9,0,9.0,18.1,18.1,13.6,,83,
407,Darius Cooper,PHI,WR,24,13,0,9.0,18.2,18.2,13.7,,165,
408,Trevor Etienne,CAR,RB,21,17,0,9.0,11.7,12.7,10.2,,104,
409,Najee Harris,LAC,RB,27,3,0,9.0,11.6,11.6,10.1,,105,
410,Malik Heath,GNB,WR,25,11,0,9.0,14.6,14.6,11.6,,168,
411,Phil Mafah,DAL,RB,23,1,0,9.0,10.9,10.9,9.9,,103,
412,David Martin-Robinson,TEN,TE,26,17,4,9.0,13.0,13.0,11.0,,84,
413,Ryan Miller,TAM,WR,25,13,3,9.0,11.4,11.4,10.4,,162,
414,Andrew Ogletree,IND,TE,27,15,5,9.0,12.7,12.7,10.7,,85,
415,Will Shipley,PHI,RB,23,15,0,9.0,17.5,18.5,13.0,,106,
416,Mason Tipton,NOR,WR,25,14,3,9.0,20.4,20.4,14.9,,163,
417,Casey Washington,ATL,WR,24,7,2,9.0,15.4,15.4,12.4,,164,
418,Nick Westbrook-Ikhine,MIA,WR,28,15,3,9.0,19.9,19.9,14.4,,167,
419,Trayveon Williams,2TM,RB,28,7,0,9.0,17.1,17.1,13.1,,102,
420,Ronnie Bell,NOR,WR,25,2,0,8.0,10.3,10.3,9.3,,169,
421,British Brooks,HOU,RB,26,15,2,8.0,7.8,7.8,7.8,,108,
422,Noah Brown,WAS,WR,29,4,4,8.0,13.3,13.3,10.8,,170,
423,Josiah Deguara,ARI,TE,28,12,2,8.0,11.1,11.1,9.6,,86,
424,Austin Ekeler,WAS,RB,30,2,2,8.0,13.1,13.1,10.6,,107,
425,Kaleb Johnson,PIT,RB,22,10,0,8.0,8.8,8.8,8.3,,109,
426,Kenny Pickett,LVR,QB,27,6,2,8.0,7.7,10.7,9.7,,60,
427,Cade Stover,HOU,TE,25,9,7,8.0,19.9,19.9,13.9,,87,
428,Cam Akers,2TM,RB,26,6,0,7.0,7.2,7.2,7.2,,111,
429,Devin Culp,TAM,TE,25,13,0,7.0,7.6,7.6,7.1,,88,
430,Corey Kiner,ARI,RB,23,4,0,7.0,9.3,9.3,8.3,,110,
431,Ray-Ray McCloud,2TM,WR,29,6,2,7.0,13.9,13.9,10.4,,171,
432,James Proche,TEN,WR,29,9,2,7.0,12.5,12.5,9.5,,173,
433,Arian Smith,NYJ,WR,24,16,5,7.0,13.5,13.5,10.0,,174,
434,Xavier Weaver,ARI,WR,25,10,2,7.0,13.7,13.7,10.2,,172,
435,Ty Chandler,MIN,RB,27,3,0,6.0,8.8,8.8,7.3,,115,
436,AJ Dillon,PHI,RB,27,7,0,6.0,9.1,10.1,7.6,,112,
437,Hassan Haskins,LAC,RB,26,12,0,6.0,10.0,10.0,8.0,,114,
438,Khalil Herbert,NYJ,RB,27,7,0,6.0,6.6,6.6,6.1,,116,
439,Alec Ingold,MIA,FB,29,17,10,6.0,14.1,14.1,10.1,,113,
440,Charlie Jones,CIN,WR,27,14,0,6.0,6.0,6.0,6.0,,176,
441,Scotty Miller,PIT,WR,28,13,0,6.0,15.2,15.2,10.7,,175,
442,Foster Moreau,NOR,TE,28,11,9,6.0,12.9,12.9,9.4,,89,
443,Zamir White,LVR,RB,26,6,0,6.0,9.6,9.6,7.6,,117,
444,Robbie Chosen,WAS,WR,32,3,0,5.0,10.3,10.3,7.8,,178,
445,Brenden Bates,2TM,TE,26,9,3,5.0,8.8,8.8,6.8,,93,
446,Tahj Brooks,CIN,RB,23,16,0,5.0,6.4,6.4,5.9,,118,
447,Anthony Firkser,DET,TE,30,7,4,5.0,13.3,13.3,9.3,,90,
448,Evan Hull,NOR,RB,25,6,0,5.0,6.4,6.4,5.9,,119,
449,Mason Kinsey,TEN,WR,27,10,0,5.0,6.8,6.8,5.8,,179,
450,Gage Larvadain,CLE,WR,23,13,0,5.0,12.4,13.4,8.9,,177,
451,Aidan O'Connell,LVR,QB,27,1,0,5.0,4.8,4.8,4.8,,61,
452,Ronnie Rivers,LAR,RB,26,11,0,5.0,4.6,4.6,4.6,,120,
453,Eric Saubert,SEA,TE,31,11,5,5.0,9.1,9.1,7.1,,92,
454,Stone Smartt,NYJ,TE,27,15,1,5.0,12.2,12.2,8.7,,91,
455,Austin Trammell,JAX,WR,27,6,0,5.0,7.6,7.6,6.1,,181,
456,Charlie Woerner,ATL,TE,28,17,13,5.0,12.8,12.8,8.8,,94,
457,Dareke Young,SEA,WR,26,9,0,5.0,6.8,6.8,5.8,,180,
458,Braxton Berrios,HOU,WR,30,4,0,4.0,9.7,9.7,6.7,,186,
459,Max Brosmer,MIN,QB,24,7,2,4.0,4.2,12.2,8.2,,62,
460,Shane Buechele,KAN,QB,27,1,0,4.0,3.9,3.9,3.9,,63,
461,Nathan Carter,ATL,RB,23,7,0,4.0,4.0,5.0,4.0,,121,
462,Julius Chestnut,TEN,RB,25,17,0,4.0,4.0,4.0,4.0,,122,
463,Dylan Drummond,ATL,WR,25,9,0,4.0,11.2,11.2,7.7,,183,
464,D'Wayne Eskridge,MIA,WR,28,13,0,4.0,8.2,9.2,6.2,,184,
465,Kylen Granson,PHI,TE,27,17,3,4.0,11.0,11.0,7.5,,95,
466,Jalin Hyatt,NYG,WR,24,8,0,4.0,8.5,8.5,6.0,,188,
467,Tom Kennedy,DET,WR,29,6,0,4.0,7.6,7.6,5.6,,187,
468,Keleki Latu,BUF,TE,23,5,0,4.0,7.5,7.5,5.5,,97,
469,Albert Okwuegbunam,LVR,TE,27,1,0,4.0,8.6,8.6,6.1,,96,
470,Dameon Pierce,2TM,RB,25,5,0,4.0,3.6,3.6,3.6,,123,
471,Xavier Restrepo,TEN,WR,23,2,0,4.0,7.1,7.1,5.6,,185,
472,Cedrick Wilson Jr.,MIA,WR,30,10,5,4.0,9.4,9.4,6.9,,182,
473,Tyson Bagent,CHI,QB,25,3,0,3.0,2.6,2.6,2.6,,65,
474,Teddy Bridgewater,TAM,QB,33,4,0,3.0,2.9,2.9,2.9,,64,
475,Jalen Brooks,2TM,WR,25,6,0,3.0,6.1,7.1,4.6,,192,
476,Beaux Collins,NYG,WR,23,9,0,3.0,4.5,4.5,3.5,,197,
477,Devin Duvernay,CHI,WR,28,17,0,3.0,4.6,4.6,3.6,,195,
478,Tai Felton,MIN,WR,22,17,0,3.0,5.5,5.5,4.0,,198,
479,Reggie Gilliam,BUF,FB,28,17,2,3.0,4.8,4.8,3.8,,125,
480,Tyler Goodson,IND,RB,25,11,0,3.0,5.2,5.2,4.2,,124,
481,KhaDarel Hodge,ATL,WR,30,12,1,3.0,6.1,6.1,4.6,,193,
482,D'Ernest Johnson,2TM,RB,29,8,0,3.0,2.5,2.5,2.5,,126,
483,Jacoby Jones,WAS,WR,24,1,0,3.0,3.5,3.5,3.0,,199,
484,Velus Jones Jr.,2TM,WR,28,8,0,3.0,3.2,3.2,3.2,,189,
485,Jonathan Mingo,DAL,WR,24,6,0,3.0,3.5,3.5,3.0,,200,
486,James Mitchell,CAR,TE,26,5,0,3.0,5.8,5.8,4.3,,99,
487,Nikko Remigio,KAN,WR,26,14,0,3.0,4.2,4.2,3.7,,190,
488,Ben Sims,2TM,TE,25,11,2,3.0,6.0,6.0,4.5,,98,
489,Durham Smythe,CHI,TE,30,17,2,3.0,6.5,6.5,4.5,,100,
490,Deven Thompkins,ATL,WR,26,7,0,3.0,6.2,6.2,4.7,,191,
491,Jordan Watkins,SFO,WR,23,4,0,3.0,4.6,4.6,3.6,,196,
492,Justin Watson,HOU,WR,29,3,0,3.0,6.0,6.0,4.5,,194,
493,Jake Bobo,SEA,WR,27,11,0,2.0,4.0,4.0,3.0,,203,
494,Britain Covey,PHI,WR,28,6,0,2.0,4.0,4.0,3.0,,204,
495,DeeJay Dallas,2TM,RB,27,6,0,2.0,2.1,2.1,2.1,,128,
496,Joshua Dobbs,NWE,QB,30,4,0,2.0,2.1,2.1,2.1,,66,
497,Clyde Edwards-Helaire,KAN,RB,26,2,0,2.0,4.2,4.2,3.2,,127,
498,Tucker Fisk,LAC,TE,26,10,7,2.0,3.9,3.9,2.9,,103,
499,Roschon Johnson,CHI,RB,24,7,0,2.0,1.7,1.7,1.7,,130,
500,Tim Jones,2TM,WR,27,4,0,2.0,2.5,2.5,2.0,,208,
501,Jakobie Keeney-James,GNB,WR,25,1,1,2.0,3.5,3.5,2.5,,209,
502,Lucas Krull,DEN,TE,27,3,3,2.0,3.5,3.5,2.5,,108,
503,Will Mallory,IND,TE,26,2,0,2.0,2.6,2.6,2.1,,107,
504,Tay Martin,WAS,WR,28,3,0,2.0,4.3,4.3,3.3,,201,
505,Zaire Mitchell-Paden,2TM,TE,26,8,1,2.0,3.7,3.7,2.7,,106,
506,David Moore,CAR,WR,30,4,2,2.0,2.7,2.7,2.2,,206,
507,Tip Reiman,ARI,TE,24,4,3,2.0,4.8,4.8,3.3,,104,
508,Cooper Rush,BAL,QB,32,4,2,2.0,1.7,9.7,5.7,,68,
509,Trent Sherfield,2TM,WR,29,12,3,2.0,5.1,5.1,3.6,,202,
510,Clayton Tune,GNB,QB,26,2,1,2.0,2.0,3.0,3.0,,67,
511,Tahj Washington,MIA,WR,24,6,1,2.0,4.7,5.7,3.2,,207,
512,Jared Wayne,HOU,WR,25,1,1,2.0,4.0,4.0,3.0,,205,
513,Jelani Woods,NYJ,TE,27,4,1,2.0,3.4,3.4,2.9,,101,
514,Jacardia Wright,SEA,RB,25,1,0,2.0,2.0,2.0,2.0,,129,
515,Colson Yankoff,WAS,TE,25,14,0,2.0,3.8,3.8,2.8,,105,
516,Shane Zylstra,DET,TE,29,6,3,2.0,5.0,5.0,3.5,,102,
517,Brandon Allen,TEN,QB,33,1,0,1.0,0.9,1.9,1.9,,71,
518,Andre Baccellia,ARI,WR,28,5,2,1.0,2.8,2.8,1.8,,212,
519,Alex Bachman,LVR,WR,29,13,0,1.0,3.2,3.2,2.2,,210,
520,Harrison Bryant,HOU,TE,27,12,4,1.0,2.7,2.7,1.7,,113,
521,Sal Cannella,CLE,TE,29,2,0,1.0,3.1,3.1,2.1,,110,
522,Payne Durham,TAM,TE,25,17,10,1.0,2.1,2.1,1.6,,111,
523,Ross Dwelley,DET,TE,30,11,1,1.0,2.7,2.7,1.7,,114,
524,Myles Gaskin,SEA,RB,28,1,0,1.0,0.6,0.6,0.6,,137,
525,Anthony Gould,IND,WR,24,11,1,1.0,2.6,2.6,1.6,,214,
526,Cam Grandy,CIN,TE,25,5,1,1.0,2.7,2.7,1.7,,115,
527,Amar Johnson,LAC,RB,22,2,0,1.0,0.8,0.8,0.8,,134,
528,Dylan Laube,LVR,RB,26,17,0,1.0,3.7,4.7,2.2,,135,
529,Chris Manhertz,NYG,TE,33,17,3,1.0,1.7,1.7,1.2,,116,
530,Moliki Matavao,NOR,TE,22,6,2,1.0,3.0,3.0,2.0,,112,
531,Kalel Mullings,TEN,RB,23,9,0,1.0,0.7,0.7,0.7,,136,
532,Bryce Oliver,TEN,WR,25,3,0,1.0,1.8,1.8,1.3,,213,
533,Patrick Ricard,BAL,FB,31,11,5,1.0,2.1,2.1,1.6,,131,
534,Anthony Richardson,IND,QB,23,2,0,1.0,2.2,2.2,1.7,,70,
535,Jacob Saylors,DET,RB,24,16,0,1.0,1.1,1.1,1.1,,132,
536,Quentin Skinner,NYJ,WR,24,1,0,1.0,2.0,2.0,1.5,,211,
537,Josh Williams,TAM,RB,25,3,0,1.0,1.1,1.1,1.1,,133,
538,Zach Wilson,MIA,QB,26,4,0,1.0,1.4,1.4,1.4,,69,
539,Owen Wright,TAM,RB,26,3,0,1.0,0.6,0.6,0.6,,138,
540,Ben Yurosek,MIN,TE,23,12,1,1.0,3.4,3.4,2.4,,109,
541,Maurice Alexander,CHI,WR,28,1,0,,,,,,218,
542,Kyle Allen,DET,QB,29,3,0,,-0.3,-0.3,-0.3,,78,
543,Ulysses Bentley,IND,RB,25,1,0,,,,,,142,
544,Chris Blair,ATL,WR,28,3,0,,,,,,219,
545,Gary Brightwell,CIN,RB,26,2,0,,,,,,143,
546,Ja'Corey Brooks,WAS,WR,24,1,0,,,,,,220,
547,Jason Brownlee,KAN,WR,26,6,0,,,,,,221,
548,Pharaoh Brown,ARI,TE,31,7,2,,2.1,2.1,1.1,,122,
549,Lawrence Cager,WAS,TE,28,1,0,,,,,,124,
550,Dalen Cambre,NYG,WR,24,7,0,,,,,,222,
551,Dalevon Campbell,CAR,WR,24,2,0,,,,,,223,
552,Parris Campbell,DAL,WR,28,1,0,,,,,,224,
553,Stephen Carlson,CHI,TE,29,2,0,,,,,,125,
554,DeAndre Carter,CLE,WR,32,4,0,,,,,,225,
555,Dan Chisena,CAR,WR,28,1,0,,,,,,226,
556,River Cracraft,WAS,WR,31,2,0,,,,,,227,
557,Malik Cunningham,DET,WR,27,1,0,,0.1,0.1,0.1,,217,
558,Drake Dabney,GNB,TE,23,2,1,,1.3,1.3,0.8,,120,
559,Kaden Davis,CLE,WR,27,2,0,,,,,,228,
560,Zach Davidson,NYG,TE,27,1,0,,,,,,126,
561,CJ Dippre,NWE,TE,23,2,0,,,,,,127,
562,Chase Edmonds,WAS,RB,29,3,0,,,,,,144,
563,Princeton Fant,DAL,TE,26,1,0,,,,,,128,
564,Simi Fehoko,ARI,WR,28,8,0,,,,,,229,
565,Thomas Fidone,NYG,TE,23,7,0,,,,,,129,
566,Feleipe Franks,ATL,TE,28,17,0,,0.4,0.4,0.4,,117,
567,Russell Gage,SFO,WR,29,1,0,,,,,,230,
568,Eric Gray,NYG,RB,26,4,0,,,,,,145,
569,Isaac Guerendo,SFO,RB,25,14,0,,,,,,146,
570,Nyheim Hines,2TM,RB,29,4,0,,-0.2,-0.2,-0.2,,161,
571,Jimmy Holiday,KAN,WR,24,1,0,,,,,,231,
572,Travis Homer,CHI,RB,27,10,0,,-0.2,-0.2,-0.2,,162,
573,Zach Horton,DET,TE,23,2,0,,,,,,130,
574,Jarquez Hunter,LAR,RB,23,5,0,,,,,,147,
575,Jordan James,SFO,RB,21,3,0,,,,,,148,
576,Jermar Jefferson,ARI,RB,25,2,0,,,,,,149,
577,E.J. Jenkins,PHI,TE,27,2,0,,,,,,131,
578,Jakob Johnson,HOU,FB,31,7,2,,,,,,150,
579,Jeshaun Jones,MIN,WR,26,1,0,,,,,,232,
580,Nikola Kalinic,CHI,TE,28,2,0,,,,,,132,
581,Nick Kallerup,SEA,TE,24,9,0,,,,,,133,
582,Ko Kieft,TAM,TE,27,3,0,,,,,,134,
583,Cameron Latu,PHI,TE,25,15,2,,,,,,135,
584,Marcedes Lewis,DEN,TE,41,5,1,,,,,,136,
585,Drew Lock,SEA,QB,29,5,0,,0.1,0.1,0.1,,72,
586,Dominic Lovett,DET,WR,23,12,0,,,,,,233,
587,Adrian Martinez,SFO,QB,25,1,0,,-0.1,-0.1,-0.1,,76,
588,Sean McKeon,IND,TE,28,1,0,,,,,,137,
589,Jackson Meeks,DET,WR,22,2,0,,,,,,234,
590,Kendall Milton,CIN,RB,23,1,0,,0.2,0.2,0.2,,141,
591,Jordan Mims,TEN,RB,26,1,0,,,,,,151,
592,Gardner Minshew II,KAN,QB,29,4,1,,-0.3,0.7,0.7,,79,
593,Elijah Mitchell,KAN,RB,27,1,0,,,,,,152,
594,Jalen Moreno-Cropper,DAL,WR,24,3,0,,,,,,235,
595,Nick Mullens,JAX,QB,30,5,0,,,,,,74,
596,Lew Nichols,PIT,RB,24,1,0,,,,,,153,
597,Robbie Ouzts,SEA,FB,23,12,2,,,,,,154,
598,Coleman Owen,IND,WR,24,2,0,,,,,,236,
599,Tejhaun Palmer,ARI,WR,25,1,0,,,,,,237,
600,Brennan Presley,LAR,WR,23,1,0,,,,,,238,
601,Teagan Quitoriano,ATL,TE,25,17,1,,,,,,138,
602,Craig Reynolds,DET,RB,29,7,0,,0.4,0.4,0.4,,139,
603,Giovanni Ricci,DET,TE,29,3,1,,,,,,139,
604,JP Richardson,CHI,WR,23,1,0,,,,,,239,
605,Jalen Royals,KAN,WR,22,7,2,,2.4,2.4,1.4,,215,
606,Hayden Rucci,MIA,TE,24,4,0,,,,,,140,
607,Carter Runyon,LVR,TE,24,13,0,,1.3,1.3,0.8,,121,
608,Brady Russell,SEA,FB,27,17,1,,,,,,155,
609,Brett Rypien,CIN,QB,29,1,0,,,,,,73,
610,Cody Schrader,LAR,RB,26,1,0,,,,,,156,
611,Trey Sermon,PIT,RB,26,4,0,,,,,,157,
612,Justin Shorter,LVR,WR,25,7,0,,,,,,240,
613,Steven Sims,ARI,WR,28,3,0,,,,,,241,
614,Kedon Slovis,ARI,QB,24,2,0,,-0.1,-0.1,-0.1,,75,
615,Brandon Smith,NYJ,WR,27,2,0,,,,,,242,
616,Jarrett Stidham,DEN,QB,29,1,0,,-0.1,-0.1,-0.1,,77,
617,Robert Tonyan,KAN,TE,31,17,0,,1.1,1.1,0.6,,123,
618,Samori Toure,NOR,WR,27,1,0,,1.3,1.3,0.8,,216,
619,Laquon Treadwell,IND,WR,30,10,0,,,,,,243,
620,Cole Turner,TEN,TE,25,1,0,,,,,,141,
621,DJ Turner,LVR,WR,28,1,0,,,,,,244,
622,Malik Turner,SFO,WR,29,3,0,,,,,,245,
623,Sione Vaki,DET,RB,24,11,0,,0.4,0.4,0.4,,140,
624,Nick Vannett,2TM,TE,32,10,1,,,,,,142,
625,Travis Vokolek,ARI,TE,27,5,1,,,,,,143,
626,Carlos Washington,ATL,RB,27,1,0,,,,,,158,
627,Treyton Welch,NOR,TE,24,3,1,,,,,,144,
628,Jack Westover,NWE,FB,26,17,2,,1.0,1.0,0.5,,159,
629,Blake Whiteheart,CLE,TE,25,17,4,,2.4,2.4,1.4,,118,
630,Ricky White,SEA,WR,23,2,0,,,,,,246,
631,Jared Wiley,KAN,TE,25,5,0,,1.4,1.4,0.9,,119,
632,Avery Williams,NYJ,WR,27,1,0,,,,,,247,
633,Brayden Willis,SFO,TE,26,6,0,,,,,,145,
634,Jeff Wilson,MIA,RB,30,3,0,,,,,,160,
635,Derius Davis,LAC,WR,25,11,0,-1.0,1.5,2.5,0.5,,248,
636,Jimmy Garoppolo,LAR,QB,34,3,0,-1.0,-1.0,-1.0,-1.0,,80,
637,Ke'Shawn Williams,2TM,WR,24,11,0,-1.0,0.5,1.5,,,249,
638,Jamal Agnew,ATL,WR,30,11,0,-2.0,-2.0,-1.0,-2.0,,250,
639,Mecole Hardman,BUF,WR,27,2,0,-2.0,-2.0,-1.0,-2.0,,251,
640,Jalen Milroe,SEA,QB,23,3,0,-2.0,-1.6,-0.6,-1.6,,81,
641,LaJohntay Wester,BAL,WR,23,17,0,-2.0,-2.0,-1.0,-2.0,,252,
642,Xavier Gipson,3TM,WR,24,7,0,-3.0,-1.4,0.6,-2.4,,253,
643,Myles Price,MIN,WR,24,16,0,-6.0,-6.0,-3.0,-6.0,,254,
