Rk,Player,Tm,FantPos,Age,G,GS,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
64,Wan'Dale Robinson,NYG,WR,24,16,15,126.0,217.9,220.9,171.9,8.0,23,64.0
65,Stefon Diggs,NWE,WR,32,17,17,125.0,210.3,213.3,167.8,7.0,24,65.0
66,DeVonta Smith,PHI,WR,27,17,16,125.0,201.8,204.8,163.3,7.0,25,66.0
67,Michael Pittman Jr.,IND,WR,28,17,16,122.0,202.4,205.4,162.4,5.0,26,67.0
68,Tony Pollard,TEN,RB,28,17,17,153.0,185.8,194.8,169.3,4.0,23,68.0
69,Colston Loveland,CHI,TE,21,16,11,107.0,165.1,168.1,136.1,4.0,9,69.0
70,Quentin Johnston,LAC,WR,24,14,10,120.0,171.2,175.2,145.7,3.0,27,70.0
71,D.J. Moore,CHI,WR,28,17,17,120.0,170.2,174.2,145.2,3.0,28,71.0
72,Jake Ferguson,DAL,TE,26,17,10,106.0,188.1,193.1,147.1,3.0,10,72.0
73,George Kittle,SFO,TE,32,11,11,105.0,161.5,164.5,133.0,2.0,11,73.0
74,Jauan Jennings,SFO,WR,28,15,15,118.0,173.3,177.3,145.8,1.0,29,74.0
75,Baker Mayfield,TAM,QB,30,17,17,272.0,271.9,291.9,282.9,,12,75.0
76,Jaxson Dart,NYG,QB,22,14,12,242.0,241.6,254.6,246.6,,13,76.0
77,Jordan Love,GNB,QB,27,15,15,235.0,235.1,249.1,241.1,,15,77.0
78,Sam Darnold,SEA,QB,28,17,17,235.0,235.4,258.4,249.4,,14,78.0
79,Jacoby Brissett,ARI,QB,33,14,12,227.0,227.4,245.4,235.4,,16,
80,Daniel Jones,IND,QB,28,13,13,226.0,226.4,243.4,234.4,,17,
81,Aaron Rodgers,PIT,QB,42,16,16,226.0,227.1,238.1,233.6,,18,
82,Bryce Young,CAR,QB,24,16,16,218.0,218.0,239.0,229.0,,19,
83,Lamar Jackson,BAL,QB,28,13,13,215.0,214.9,230.9,221.9,,20,
84,C.J. Stroud,HOU,QB,24,14,14,209.0,208.5,222.5,216.5,,21,
85,Cam Ward,TEN,QB,23,17,17,187.0,186.7,206.7,193.7,,22,
86,Brock Purdy,SFO,QB,26,9,9,177.0,177.4,195.4,187.4,,23,
87,Geno Smith,LVR,QB,35,15,15,174.0,173.9,197.9,190.9,,24,
88,Tua Tagovailoa,MIA,QB,27,14,14,161.0,160.7,179.7,175.7,,25,
